id,label
7088,0.97
8624,0.97
7010,0.05
8730,0.05
8983,0.97
4843,0.05
9329,0.05
1841,0.97
1431,0.05
6506,0.05
10562,0.05
8302,0.97
2788,0.05
2731,0.05
10702,0.97
674,0.05
7812,0.05
8250,0.97
5806,0.97
517,0.97
1554,0.05
3070,0.05
833,0.97
5927,0.05
7539,0.05
427,0.05
11080,0.97
2857,0.97
5904,0.05
2146,0.05
4686,0.97
9286,0.05
3547,0.97
2606,0.05
3853,0.05
3908,0.97
9749,0.97
1970,0.05
9116,0.97
7593,0.05
9892,0.05
4052,0.05
12314,0.05
785,0.05
10105,0.05
9275,0.05
7379,0.05
8832,0.97
1621,0.97
4174,0.97
3888,0.05
11438,0.97
7332,0.97
10850,0.97
10976,0.05
4784,0.05
813,0.97
3803,0.05
10707,0.05
3136,0.97
5430,0.05
10169,0.97
685,0.05
6147,0.05
8605,0.05
8710,0.05
7046,0.05
9200,0.97
9419,0.05
6022,0.05
5338,0.97
9792,0.05
9361,0.97
7368,0.05
6808,0.05
9034,0.05
2751,0.05
8741,0.05
4790,0.05
9882,0.97
11539,0.05
6897,0.97
2507,0.97
336,0.05
1778,0.97
6405,0.05
4525,0.05
12428,0.05
11868,0.05
4759,0.05
6867,0.05
7375,0.05
2118,0.05
5366,0.05
9431,0.05
6898,0.97
3567,0.05
2181,0.05
2358,0.97
9271,0.97
2089,0.97
36,0.05
9053,0.05
11003,0.97
1472,0.05
5432,0.05
9968,0.97
4820,0.05
3839,0.05
7809,0.05
4788,0.05
10427,0.97
7484,0.05
12168,0.97
8202,0.05
3718,0.97
8116,0.97
10196,0.97
12166,0.05
1588,0.97
7680,0.97
3569,0.97
6615,0.97
4122,0.05
7774,0.97
3354,0.05
12187,0.97
4775,0.97
9051,0.05
8733,0.97
12289,0.97
2933,0.97
12445,0.97
4637,0.05
12229,0.05
8564,0.05
10906,0.97
11517,0.05
5670,0.05
9072,0.05
9649,0.97
10374,0.97
8360,0.05
3695,0.97
11992,0.05
3055,0.05
4410,0.97
11933,0.97
11935,0.05
6825,0.97
10012,0.05
2581,0.97
8656,0.05
11124,0.05
9720,0.05
9945,0.97
7749,0.97
5127,0.05
2842,0.97
4827,0.05
9373,0.97
9026,0.97
6032,0.97
9959,0.97
10005,0.05
11647,0.05
7957,0.05
8114,0.97
6196,0.97
10496,0.05
331,0.05
8287,0.97
11636,0.05
9826,0.05
9133,0.05
7432,0.97
2235,0.05
4535,0.05
2938,0.05
7941,0.97
2577,0.05
11426,0.97
7896,0.97
8512,0.97
2920,0.97
5276,0.97
922,0.05
2049,0.97
11882,0.97
2797,0.05
9594,0.05
2764,0.97
2859,0.97
10246,0.05
1138,0.97
11394,0.97
373,0.97
3468,0.97
4457,0.97
6917,0.05
1494,0.05
10587,0.97
3106,0.97
6493,0.97
1747,0.05
11449,0.97
10782,0.05
10557,0.05
3934,0.05
4538,0.97
10283,0.05
9935,0.05
8291,0.05
3358,0.97
8707,0.05
10366,0.97
4103,0.05
3608,0.05
5654,0.05
6462,0.05
2218,0.97
9756,0.97
8356,0.05
3135,0.05
10602,0.97
3114,0.97
11413,0.05
3025,0.97
6840,0.05
10811,0.05
1840,0.97
6617,0.97
10620,0.05
12391,0.97
12053,0.97
3855,0.05
8491,0.05
4524,0.97
1699,0.97
4782,0.97
4723,0.97
8170,0.97
6971,0.97
11791,0.97
11228,0.05
119,0.05
4516,0.05
3361,0.97
1088,0.97
9372,0.97
12124,0.97
11562,0.05
11661,0.97
8425,0.05
354,0.05
6710,0.05
5524,0.97
2221,0.05
6525,0.97
4451,0.05
4536,0.97
11737,0.97
5036,0.05
11541,0.05
